,PLAYER,GP,MPG,TS%,AST,TO,USG,ORR,DRR,REBR,PER,VA,EWA
167,CobyWhite,55,36.3,0.591,21.9,9.2,0.0,0.0,0.0,0.0,15.48,0.0,0.0
168,BrunoFernando,18,8.9,0.561,8.8,10.1,0.0,0.0,0.0,0.0,15.43,0.0,0.0
169,JamesWiseman,35,14.1,0.673,10.6,14.4,0.0,0.0,0.0,0.0,15.42,35.6,1.2
170,DariusGarland,29,31.8,0.575,23.7,13.0,0.0,0.0,0.0,0.0,15.42,0.0,0.0
171,LarryNanceJr.,37,18.6,0.661,24.3,11.7,0.0,0.0,0.0,0.0,15.42,0.0,0.0
172,KeonJohnson,3,15.7,0.615,11.8,11.8,0.0,0.0,0.0,0.0,15.4,0.0,0.0
173,MikeConley,49,29.1,0.616,40.3,6.7,0.0,0.0,0.0,0.0,15.38,0.0,0.0
174,ObiToppin,56,22.5,0.668,14.9,8.2,0.0,0.0,0.0,0.0,15.37,0.0,0.0
175,TylerHerro,35,33.7,0.549,17.2,8.4,0.0,0.0,0.0,0.0,15.35,0.0,0.0
176,SamMerrill,37,15.6,0.638,18.7,3.7,0.0,0.0,0.0,0.0,15.32,0.0,0.0
177,JermaineSamuelsJr.,11,4.8,0.758,14.4,0.0,0.0,0.0,0.0,0.0,15.3,3.6,0.1
178,DeniAvdija,54,28.2,0.613,22.3,11.8,0.0,0.0,0.0,0.0,15.27,0.0,0.0
179,CamThomas,45,29.7,0.546,10.9,7.6,0.0,0.0,0.0,0.0,15.25,0.0,0.0
180,ZachLaVine,25,34.9,0.578,17.2,9.1,0.0,0.0,0.0,0.0,15.19,0.0,0.0
181,ThomasBryant,25,10.4,0.611,12.9,12.9,0.0,0.0,0.0,0.0,15.18,17.7,0.6
182,DaniloGallinari,32,14.8,0.619,17.6,5.3,0.0,3.1,0.0,10.2,15.18,0.0,0.0
183,JDDavison,2,3.0,0.532,0.0,0.0,0.0,0.0,0.0,0.0,15.17,0.0,0.0
184,JalenWilson,16,14.6,0.644,21.7,4.3,0.0,0.0,0.0,0.0,15.16,15.2,0.5
185,BogdanBogdanovic,53,28.9,0.571,14.8,6.3,0.0,0.0,0.0,0.0,15.14,0.0,0.0
186,DavisBertans,18,7.1,0.62,18.5,1.7,0.0,1.8,0.0,5.7,15.13,0.0,0.0
187,WendellCarterJr.,29,26.2,0.637,13.5,10.0,0.0,0.0,0.0,0.0,15.08,50.8,1.7
188,JacobToppin,5,6.6,0.658,15.5,7.8,0.0,0.0,0.0,0.0,15.08,2.1,0.1
189,JoshGiddey,53,24.9,0.52,25.8,11.2,0.0,0.0,0.0,0.0,15.04,0.0,0.0
190,BrookLopez,52,31.5,0.6,12.2,7.0,0.0,0.0,0.0,0.0,15.03,108.2,3.6
191,AaronWiggins,51,14.4,0.692,15.9,9.2,0.0,0.0,0.0,0.0,14.99,0.0,0.0
192,DwightPowell,47,15.4,0.741,31.4,12.0,0.0,0.0,0.0,0.0,14.96,45.1,1.5
193,OrlandoRobinson,24,10.0,0.613,23.8,12.3,0.0,0.0,0.0,0.0,14.96,15.5,0.5
194,LamarStevens,21,8.0,0.546,9.9,12.2,0.0,9.1,0.0,14.6,14.94,0.0,0.0
195,DrewEubanks,49,16.0,0.663,15.2,15.6,0.0,0.0,0.0,0.0,14.85,0.0,0.0
196,BradleyBeal,30,32.6,0.579,19.9,10.7,0.0,0.0,0.0,0.0,14.84,0.0,0.0
197,OlivierSarr,12,7.4,0.653,7.0,10.4,0.0,0.0,0.0,0.0,14.79,5.6,0.2
198,TreyMurphyIII,30,25.8,0.593,12.7,3.9,0.0,0.0,0.0,0.0,14.77,0.0,0.0
199,DominickBarlow,23,13.3,0.531,20.0,3.8,0.0,0.0,0.0,0.0,14.75,0.0,0.0
200,PreciousAchiuwa,48,21.3,0.537,14.0,10.7,0.0,13.3,0.0,16.5,14.71,0.0,0.0
201,CarisLeVert,43,27.5,0.526,22.5,7.6,0.0,0.0,0.0,0.0,14.7,0.0,0.0
202,CameronJohnson,41,28.2,0.581,17.0,6.3,0.0,0.0,0.0,0.0,14.6,0.0,0.0
203,AlexCaruso,47,27.1,0.628,23.6,11.5,0.0,0.0,0.0,0.0,14.59,0.0,0.0
204,MichaelPorterJr.,54,31.6,0.587,9.0,6.8,0.0,0.0,0.0,0.0,14.55,0.0,0.0
205,DraymondGreen,28,26.9,0.601,37.7,15.3,0.0,0.0,0.0,0.0,14.52,0.0,0.0
206,TreJones,50,26.0,0.576,37.1,9.0,0.0,0.0,0.0,0.0,14.49,0.0,0.0
207,MosesMoody,39,17.3,0.582,9.6,8.1,0.0,0.0,0.0,0.0,14.48,0.0,0.0
208,DanielTheis,40,16.8,0.599,14.6,9.8,0.0,10.2,0.0,12.1,14.42,38.3,1.3
209,TristanThompson,36,12.4,0.605,22.9,13.2,0.0,0.0,0.0,0.0,14.4,25.3,0.8
210,ChrisPaul,32,27.6,0.543,43.3,7.2,0.0,0.0,0.0,0.0,14.39,0.0,0.0
211,TazeMoore,3,3.3,0.6,14.3,14.3,0.0,0.0,0.0,0.0,14.36,0.5,0.0
212,AlecBurks,46,21.1,0.573,11.6,6.0,0.0,2.0,0.0,6.7,14.33,0.0,0.0
213,ColeAnthony,54,23.0,0.549,19.5,11.3,0.0,0.0,0.0,0.0,14.32,0.0,0.0
214,JrueHoliday,50,33.3,0.591,26.9,10.5,0.0,0.0,0.0,0.0,14.28,0.0,0.0
